display_symbol,team_name,qty,avg_entry_price_est,entry_source,best_bid,best_ask,mark_price,mark_price_source,fair_value,last_strategy_reason,unrealized_pnl
BYU,BYU,-8,,unknown_after_restart,,0.09,0.09,book_single_side,0.0,,
SMU,SMU,-8,,unknown_after_restart,,0.03,0.03,book_single_side,0.0,,
TCU,TCU,-8,,unknown_after_restart,1.97,2.0,1.9849999999999999,mid,2.0,,
UCF,UCF,-8,,unknown_after_restart,,0.08,0.08,book_single_side,0.0,,
VCU,VCU,-8,,unknown_after_restart,1.99,2.0,1.995,mid,2.0,,
Duke,Duke,-8,,unknown_after_restart,24.06,25.95,25.005,mid,18.0,,
Penn,Penn,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Troy,Troy,-8,,unknown_after_restart,,0.14,0.14,book_single_side,0.0,,
UCLA,UCLA,-8,,unknown_after_restart,2.0,2.01,2.005,mid,2.0,,
UMBC,UMBC,-8,,unknown_after_restart,,0.04,0.04,book_single_side,0.0,,
Akron,Akron,-8,,unknown_after_restart,,0.04,0.04,book_single_side,0.0,,
Idaho,Idaho,-8,,unknown_after_restart,,0.18,0.18,book_single_side,0.0,,
Siena,Siena,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Texas,Texas,-8,,unknown_after_restart,5.31,5.74,5.525,mid,5.720000000000001,,
Furman,Furman,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Hawaii,Hawaii,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Howard,Howard,-8,,unknown_after_restart,,0.34,0.34,book_single_side,0.0,,
Kansas,Kansas,-8,,unknown_after_restart,2.02,2.05,2.035,mid,2.0,,
Lehigh,Lehigh,-8,,unknown_after_restart,,0.11,0.11,book_single_side,0.0,,
Purdue,Purdue,-8,,unknown_after_restart,13.11,13.67,13.39,mid,14.36,,
Queens,Queens,-8,,unknown_after_restart,,0.08,0.08,book_single_side,0.0,,
Arizona,Arizona,-8,,unknown_after_restart,25.12,26.88,26.0,mid,20.28,,
Clemson,Clemson,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Florida,Florida,-8,,unknown_after_restart,2.0,2.02,2.01,mid,2.0,,
Georgia,Georgia,-8,,unknown_after_restart,,0.02,0.01,last_trade,0.0,,
Gonzaga,Gonzaga,-8,,unknown_after_restart,2.0,2.01,2.005,mid,2.0,,
Hofstra,Hofstra,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Houston,Houston,-8,,unknown_after_restart,16.96,17.24,17.1,mid,13.68,,
Iowa St,Iowa St,-8,,unknown_after_restart,11.01,11.09,11.05,mid,11.0,,
McNeese,McNeese,-8,,unknown_after_restart,,0.03,0.03,book_single_side,0.0,,
Ohio St,Ohio St,-8,,unknown_after_restart,,0.08,0.08,book_single_side,0.0,,
Utah St,Utah St,-8,,unknown_after_restart,1.99,2.01,2.0,mid,2.0,,
Arkansas,Arkansas,24,,unknown_after_restart,5.43,7.24,6.335,mid,8.92,,
Illinois,Illinois,-8,,unknown_after_restart,11.6,12.09,11.844999999999999,mid,10.64,,
Kentucky,Kentucky,-8,,unknown_after_restart,1.99,2.01,2.0,mid,2.0,,
Miami FL,Miami FL,-8,,unknown_after_restart,1.99,2.0,1.995,mid,2.0,,
Miami OH,Miami OH,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Michigan,Michigan,-8,,unknown_after_restart,28.38,29.62,29.0,mid,21.279999999999998,,
Missouri,Missouri,-100,,unknown_after_restart,,0.02,0.02,book_single_side,0.0,,
NC State,NC State,-8,,unknown_after_restart,,0.02,0.02,book_single_side,0.0,,
Nebraska,Nebraska,4,,unknown_after_restart,7.08,8.29,7.685,mid,12.760000000000002,,
St Johns,St Johns,5,,unknown_after_restart,6.61,6.99,6.800000000000001,mid,9.76,,
Virginia,Virginia,-8,,unknown_after_restart,2.0,2.06,2.0300000000000002,mid,2.0,,
Tennessee,Tennessee,6,,unknown_after_restart,6.42,6.97,6.695,mid,7.96,,
Texas A&M,Texas A&M,-8,,unknown_after_restart,1.99,2.01,2.0,mid,2.0,,
Villanova,Villanova,-8,,unknown_after_restart,,0.25,0.25,book_single_side,0.0,,
Wisconsin,Wisconsin,-28,,unknown_after_restart,,0.28,0.28,book_single_side,0.0,,
Wright St,Wright St,-8,,unknown_after_restart,,0.19,0.19,book_single_side,0.0,,
High Point,High Point,-8,,unknown_after_restart,1.99,2.0,1.995,mid,2.0,,
Louisville,Louisville,-8,,unknown_after_restart,1.99,2.01,2.0,mid,2.0,,
Texas Tech,Texas Tech,-8,,unknown_after_restart,2.0,2.04,2.02,mid,2.0,,
Vanderbilt,Vanderbilt,-8,,unknown_after_restart,2.0,2.39,2.1950000000000003,mid,2.0,,
Cal Baptist,Cal Baptist,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Kennesaw St,Kennesaw St,-8,,unknown_after_restart,,0.04,0.04,book_single_side,0.0,,
Long Island,Long Island,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Michigan St,Michigan St,5,,unknown_after_restart,8.15,8.93,8.54,mid,10.440000000000001,,
Saint Louis,Saint Louis,-6,,unknown_after_restart,1.99,2.01,2.0,mid,2.0,,
Saint Marys,Saint Marys,-7,,unknown_after_restart,,0.09,0.09,book_single_side,0.0,,
Santa Clara,Santa Clara,-48,,unknown_after_restart,,0.07,0.07,book_single_side,0.0,,
Prairie View,Prairie View,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Tennessee St,Tennessee St,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
Northern Iowa,Northern Iowa,-8,,unknown_after_restart,,0.04,0.04,book_single_side,0.0,,
South Florida,South Florida,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
North Carolina,North Carolina,-98,,unknown_after_restart,,0.03,0.03,book_single_side,0.0,,
North Dakota St,North Dakota St,-8,,unknown_after_restart,,0.01,0.01,book_single_side,0.0,,
